selts_lk	selts_ek	sugukond_lk	sugukond_ek	nimi_lk	nimi_ek	nimi_ik
Piciformes	rähnilised	Lybiidae	udelindlased	Trachylaemus goffinii togoensis, Trachylaemus togoensis, Trachylaemus purpuratus togoensis, Trachyphonus purpuratus togoensis	dahomee udelind	Togo Yellow-billed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachylaemus goffinii, Trachylaemus purpuratus goffinii, Trachyphonus purpuratus goffinii		Western Yellow-billed Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachylaemus purpuratus, Trachyphonus purpuratus	sultan-udelind	Eastern Yellow-billed Barbet, Yellow-billed Barbet*
Piciformes	rähnilised	Lybiidae	udelindlased	Trachyphonus darnaudii	maa-udelind	D'Arnaud's Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachyphonus erythrocephalus	tähnik-udelind	Red-and-yellow Barbet, Red and Yellow Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachyphonus margaritatus	pärl-udelind	Yellow-breasted Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachyphonus usambiro, Trachyphonus darnaudii usambiro	maasai udelind	Usambiro Barbet, Maasai Barbet, Masai Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Trachyphonus vaillantii	tutt-udelind	Crested Barbet, Levaillant's Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema diademata, Lybius diadematus	diadeem-udelind	Red-fronted Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema frontata	miombo-udelind	Miombo Pied Barbet, Miombo Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema hirsuta, Lybius hirsutus	punasilm-udelind	Hairy-breasted Barbet, Hairy-breasted Toothbill
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema lacrymosa, Lybius lacrymosus, [Tricholaema lachrymosa]	täpikkülg-udelind	Spot-flanked Barbet, Spotted-flanked Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema leucomelas, Lybius leucomelas, [Tricholaema leucomelaina], [Tricholaema leucomelaena]	lõuna-udelind	Acacia Pied Barbet, Pied Barbet
Piciformes	rähnilised	Lybiidae	udelindlased	Tricholaema melanocephala, Lybius melanocephalus	kõnnu-udelind	Black-throated Barbet, African Black-throated Barbet, Brown-throated Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Calorhamphus fuliginosus	roostepugu-habelind	Brown Barbet, Bornean Brown Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Calorhamphus hayii, Calorhamphus fuliginosus hayii		Sooty Barbet, Malay Brown Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon annamensis, Megalaima oorti annamensis, Megalaima annamensis	annami habelind	Indochinese Barbet, Annam Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon armillaris, Megalaima armillaris	kuldpugu-habelind	Flame-fronted Barbet, Blue-crowned Barbet, Orange-fronted Barbet*
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon asiaticus, Megalaima asiatica	sinipõsk-habelind	Blue-throated Barbet, Blue-breasted Barbet, Blue-cheeked Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon auricularis, Megalaima franklinii auricularis		Necklaced Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon australis, Megalaima australis	väike-habelind	Yellow-eared Barbet, Blue-eared Barbet*, Crimson-browed Barbet, Little Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon chersonesus, Megalaima asiatica chersonesus		Turquoise-throated Barbet, Kra Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon chrysopogon chrysopsis, Megalaima chrysopsis		Golden-faced Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon chrysopogon, Megalaima chrysopogon	laikpea-habelind	Golden-whiskered Barbet, Gold-whiskered Barbet
Piciformes	rähnilised	Megalaimidae	habelindlased	Psilopogon corvinus, Megalaima corvina	pruunpea-habelind	Brown-throated Barbet, Javan Brown-throated Barbet, Javan Barbet*
